Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,~,CONN_650470-5_TYC,162.56,-121.92,-90,top
J2,~,CONN_650470-5_TYC,137.16,-121.92,-90,top
J3,~,CONN_650470-5_TYC,111.76,-121.92,-90,top
J4,~,CONN_650470-5_TYC,86.36,-121.92,-90,top
J5,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,91.1,-143.5,0,top
J6,1720420202,SUPERSABRE_2CIRCUIT,161.8996,-140.9446,0,top
J7,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,82.5,-143.5,0,top
J8,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,159.7,-29.05,0,top
J9,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,74.140538,-143.555467,0,top
J10,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,151.5,-29,0,top
J11,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,82.499328,-136.777073,0,top
J12,Conn_02x12_Odd_Even,Molex_Mini-Fit_Jr_5566-24A_2x12_P4.20mm_Vertical,100.09,-137.72,0,top
J13,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,143.2,-29,0,top
J14,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,91.05846,-136.771766,0,top
J15,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,168.8,-62,90,top
J17,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,135,-29,0,top
J18,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,74.7,-41.3,-90,top
J19,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,73.125,-83.95,90,top
J20,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,73.125,-79.3,90,top
J21,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,73.125,-74.65,90,top
J22,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,73.16,-65.4,90,top
J23,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,73.16,-60.7,90,top
J24,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,73.16,-70,90,top
J25,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,170.675,-45.34,-90,top
J26,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,170.635,-41.2,-90,top
J27,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,168.8,-69.75,90,top
J28,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,74.05,-136.95,0,top
J29,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,88.25,-29.2,0,top
J30,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,98.1,-29.2,0,top
J31,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,73.85,-104.6,90,top
J32,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,73.8,-96.95,90,top
J33,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,73.7,-116.15,90,top
J34,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,73.65,-123.6,90,top
J35,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,106.25,-29.2,0,top
J36,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,74.4,-29.25,0,top
J37,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,167.75,-29.1,0,top
R1,120,R_0805_2012Metric,119.4,-29.5125,90,top
R2,120,R_0805_2012Metric,81.6,-29.5125,90,top
R3,4.7k,R_0805_2012Metric,150.35,-33.8,0,top
R4,4.7k,R_0805_2012Metric,150.35,-36.05,0,top
U1,~,SOIC-8_3.9x4.9mm_P1.27mm,126.85,-29.567499,180,top
