Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,100nF,
C2,0805,1,22uF,
"J1, J2, J3, J4",CONN_650470-5_TYC,4,~,
"J10, J11, J13, J14, J15, J17, J18, J27, J28, J29, J30, J31, J32, J33, J34, J35, J36, J37, J5, J7, J8, J9",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,22,Conn_01x02,
J12,Molex_Mini-Fit_Jr_5566-24A_2x12_P4.20mm_Vertical,1,Conn_02x12_Odd_Even,
"J19, J20, J21, J22, J23, J24, J25, J26",PinHeader_1x02_P2.54mm_Vertical,8,Conn_01x02_Pin,
J6,SUPERSABRE_2CIRCUIT,1,1720420202,
"R1, R2",0805,2,120,
"R3, R4",0805,2,4.7k,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,~,
