Designator,Mid X,Mid Y,Rotation,Layer
C1,133.0,-31.55,90.0,bottom
C2,135.8,-33.6,180.0,bottom
C3,121.0,-29.8,180.0,bottom
J1,160.02,-82.55,270.0,top
J10,152.5,-29.0,0.0,top
J11,83.499328,-136.777073,0.0,top
J12,123.19,-140.47,0.0,top
J13,144.2,-29.0,0.0,top
J14,92.05846,-136.771766,0.0,top
J15,168.8,-61.0,90.0,top
J17,136.0,-29.0,0.0,top
J18,74.7,-42.3,270.0,top
J19,74.395,-83.95,90.0,top
J2,134.62,-82.55,270.0,top
J20,74.395,-79.3,90.0,top
J21,74.395,-74.65,90.0,top
J22,74.43,-65.4,90.0,top
J23,74.43,-60.7,90.0,top
J24,74.43,-70.0,90.0,top
J25,169.405,-45.34,270.0,top
J26,169.365,-41.2,270.0,top
J27,168.8,-68.75,90.0,top
J28,75.05,-136.95,0.0,top
J29,89.25,-29.2,0.0,top
J3,109.22,-82.55,270.0,top
J30,99.1,-29.2,0.0,top
J31,73.85,-103.6,90.0,top
J32,73.8,-95.95,90.0,top
J33,73.7,-115.15,90.0,top
J34,73.65,-122.6,90.0,top
J35,107.25,-29.2,0.0,top
J36,75.4,-29.25,0.0,top
J37,168.75,-29.1,0.0,top
J4,83.82,-82.55,270.0,top
J5,92.1,-143.5,0.0,top
J6,161.8996,-141.0291,0.0,top
J7,83.5,-143.5,0.0,top
J8,160.7,-29.05,0.0,top
J9,75.140538,-143.555467,0.0,top
R1,119.4,-29.5125,90.0,top
R2,81.6,-29.5125,90.0,top
R3,150.35,-33.8,0.0,top
R4,150.35,-36.05,0.0,top
U1,126.85,-29.567499,90.0,top
