Designator,Mid X,Mid Y,Rotation,Layer
12V_TP1,95.92,-71.47,0.0,top
3.3V_TP_REG1,104.45,-72.09,0.0,top
3.3V_TP_STM1,107.61,-58.04,0.0,top
5V_TP1,93.34,-61.83,0.0,top
BOOT_R1,130.75,-67.59,0.0,top
BULK_1,111.547,-55.4545,180.0,top
BULK_22,98.1825,-55.11,0.0,top
BULK_4.7,111.537,-57.7145,0.0,top
C1,92.0175,-78.34,90.0,top
C10,109.8225,-64.955,180.0,top
C11,112.63,-67.7,270.0,top
C12,89.64,-75.09,90.0,top
C13,131.4675,-42.8425,90.0,top
C14,132.4775,-42.8525,90.0,top
C15,90.65,-42.29,90.0,top
C16,91.65,-42.3,90.0,top
C17,117.595,-42.99,90.0,top
C18,118.655,-43.02,90.0,top
C19,104.19,-42.78,90.0,top
C2,88.19,-66.58,270.0,top
C20,105.23,-42.78,90.0,top
C3,88.09,-60.85,270.0,top
C4,105.34,-61.99,90.0,top
C5,114.745,-70.65,0.0,top
C6,113.185,-76.53,0.0,top
C7,110.4945,-61.047,270.0,top
C8,112.5145,-61.047,270.0,top
C9,118.19,-60.05,270.0,bottom
D1,125.77,-38.99,270.0,top
D2,112.2525,-39.1325,270.0,top
D3,98.77,-39.4,270.0,top
D4,85.49,-39.11,270.0,top
F2,96.7,-75.52,180.0,top
GND_TP1,108.84,-52.05,0.0,top
GND_TP2,116.27,-21.38,0.0,top
J1,116.8275,-79.5275,0.0,top
J10,88.76,-53.21,90.0,top
J11,88.73,-49.41,90.0,top
J12,81.96,-49.11,180.0,top
J13,125.76,-79.56,0.0,top
J2,98.92,-79.38,0.0,top
J3,132.7,-36.96,270.0,top
J4,119.1125,-37.2825,270.0,top
J5,105.54,-36.94,270.0,top
J6,92.03,-36.28,270.0,top
J7,130.18,-70.88,270.0,top
J8,130.907,-60.412,0.0,top
J9,135.28,-58.73,0.0,top
Q1,92.2525,-75.59,180.0,top
Q3,129.3265,-29.0495,180.0,top
Q4,115.8165,-29.0815,180.0,top
Q5,102.462,-29.296,180.0,top
Q6,89.041,-29.04,180.0,top
R1,93.26,-78.32,90.0,top
R10,95.43,-38.01,90.0,top
R11,90.55,-26.52,0.0,top
R12,111.625,-74.43,180.0,top
R14,121.375,-74.265,180.0,top
R15,111.67,-71.36,0.0,top
R16,111.66,-72.89,180.0,top
R17,121.35,-72.735,180.0,top
R18,121.375,-75.855,180.0,top
R2,90.7,-78.33,90.0,top
R4,136.1625,-38.5525,90.0,top
R5,130.9,-26.45,0.0,top
R6,122.3525,-38.8925,90.0,top
R7,117.3225,-26.5325,0.0,top
R8,108.88,-38.58,90.0,top
R9,104.3,-26.7,0.0,top
S1_OUT1,132.04,-22.88,180.0,top
S1_TP1,133.91,-46.76,0.0,top
S2_OUT1,120.48,-23.67,180.0,top
S2_TP1,119.44,-46.29,0.0,top
S3_OUT1,107.32,-23.59,180.0,top
S3_TP1,106.34,-45.89,0.0,top
S4_OUT1,93.65,-22.84,180.0,top
S4_TP1,91.8,-45.49,0.0,top
SCL,107.24,-81.15,0.0,top
SDA,107.27,-78.48,0.0,top
T_CD1,100.9825,-51.2125,270.0,top
T_CD2,94.24,-55.07,180.0,top
U1,83.66,-63.3,90.0,top
U2,100.91,-63.3,90.0,top
U3,135.09,-42.3425,180.0,top
U4,121.2825,-42.53,180.0,top
U5,116.495,-73.505,0.0,top
U6,120.29,-62.305,270.0,top
U7,96.1063,-51.2175,180.0,top
U8,107.8525,-42.31,180.0,top
U9,94.2825,-41.79,180.0,top
Y1,110.34,-67.535,270.0,top
